Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
05.02.2016;79;87;79;86;79;168520;70;133830;168520;1000;8;7
04.02.2016;87;87;83;83;83;110010;20;91300;110010;1000;4;-4
03.02.2016;87;87;87;87;87;2000;10;1740;2000;1000;0;0
02.02.2016;91;91;91;91;0;10;10;0;10;1000;0;0
01.02.2016;91;91;91;91;0;10;10;0;10;1000;0;0
29.01.2016;91;91;87;91;9;17310;210;15630;17310;1000;4;0
28.01.2016;91;91;91;91;91;94140;30;85660;94140;1000;0;0
27.01.2016;91;91;83;91;84;175000;150;146590;175000;1000;8;0
25.01.2016;91;91;87;87;89;112500;80;100020;112500;1000;4;-4
22.01.2016;95;99;91;91;95;215210;90;203840;215210;1000;8;-4
21.01.2016;95;95;95;95;95;110100;30;104590;110100;1000;0;0
20.01.2016;10;10;10;10;10;150;30;150;150;1000;0;0
19.01.2016;10;10;95;10;97;47980;1090;46680;47980;1000;5;0
18.01.2016;105;105;10;10;105;52150;70;54650;52150;1000;5;-5
15.01.2016;11;11;105;105;105;40400;190;42420;40400;1000;5;-5
14.01.2016;102;105;95;105;104;33090;310;34430;33090;1000;1;3
13.01.2016;10;10;94;10;97;21580;110;20980;21580;1000;6;0
12.01.2016;98;99;91;98;98;622850;240;610680;622850;1000;8;0
11.01.2016;95;95;91;95;95;94070;70;89200;94070;1000;4;0
08.01.2016;89;93;85;93;88;204040;1170;179290;204040;1000;8;4
07.01.2016;89;89;81;89;81;415820;920;337040;415820;1000;8;0
06.01.2016;88;89;84;85;87;641520;280;558900;641520;1000;5;-3
05.01.2016;84;88;84;88;87;989040;300;857260;989040;1000;4;4
04.01.2016;87;87;84;84;86;318350;130;273580;318350;1000;3;-3
01.01.2016;95;95;87;87;9;82240;180;74200;82240;1000;8;-8
31.12.2015;87;91;87;91;88;230710;270;202770;230710;1000;4;4
30.12.2015;87;91;87;91;88;420;40;370;420;1000;4;4
29.12.2015;91;91;87;91;9;197010;150;177500;197010;1000;4;0
28.12.2015;91;91;91;91;91;37200;90;33850;37200;1000;0;0
24.12.2015;10;10;95;95;95;354130;180;336520;354130;1000;5;-5
23.12.2015;99;99;99;99;99;370500;180;366790;370500;1000;0;0
22.12.2015;104;114;104;104;111;553000;130;616120;553000;1000;1;0
21.12.2015;115;115;109;109;109;486610;380;530400;486610;1000;6;-6
18.12.2015;126;126;114;114;122;587660;2070;718050;587660;1000;12;-12
17.12.2015;12;12;12;12;12;47260;1670;56710;47260;1000;0;0
16.12.2015;126;126;126;126;126;300000;60;378000;300000;1000;0;0
15.12.2015;132;132;132;132;132;410000;90;541200;410000;1000;0;0
14.12.2015;132;132;132;132;132;200000;20;264000;200000;1000;0;0
11.12.2015;138;138;138;138;138;400000;320;552000;400000;1000;0;0
10.12.2015;139;139;127;138;139;432000;1010;599080;432000;1000;12;-1
09.12.2015;133;133;132;133;132;212470;460;280580;212470;1000;1;0
08.12.2015;123;127;115;127;126;664550;1440;837760;664550;1000;12;4
07.12.2015;121;121;121;121;121;21640;1570;26180;21640;1000;0;0
04.12.2015;128;128;121;122;121;63000;1420;76260;63000;1000;7;-6
03.12.2015;122;122;122;122;122;350040;100;427040;350040;1000;0;0
02.12.2015;117;117;117;117;117;86590;690;101310;86590;1000;0;0
01.12.2015;112;112;102;112;112;305000;1110;341100;305000;1000;1;0
30.11.2015;116;117;107;107;114;25530;290;29170;25530;1000;1;-9
27.11.2015;113;113;103;112;107;385260;740;411440;385260;1000;1;-1
26.11.2015;118;118;108;108;115;28860;1860;33320;28860;1000;1;-1
24.11.2015;123;123;113;113;123;251300;680;308590;251300;1000;1;-1
23.11.2015;13;13;118;118;124;21150;620;26280;21150;1000;12;-12
20.11.2015;124;124;124;124;124;221740;1240;274950;221740;1000;0;0
17.11.2015;134;134;129;13;129;500920;760;646210;500920;1000;5;-4
16.11.2015;129;129;129;129;129;3220;560;4150;3220;1000;0;0
13.11.2015;136;136;134;135;134;301570;910;404120;301570;1000;2;-1
10.11.2015;13;136;13;136;131;6460;750;8450;6460;1000;6;6
09.11.2015;132;132;13;13;13;201040;570;261360;201040;1000;2;-2
06.11.2015;132;132;132;132;132;5020;20;6620;5020;1000;0;0
05.11.2015;13;13;118;127;128;175420;290;223700;175420;1000;12;-3
04.11.2015;124;124;124;124;124;171770;1370;212990;171770;1000;0;0
03.11.2015;128;13;128;13;128;500020;110;640020;500020;1000;2;2
30.10.2015;134;134;13;134;134;700000;300;937790;700000;1000;4;0
29.10.2015;132;132;131;131;132;10390;210;13710;10390;1000;1;-1
28.10.2015;125;126;125;126;125;500460;400;625570;500460;1000;1;1
27.10.2015;128;13;118;12;12;61850;1290;74100;61850;1000;12;-8
26.10.2015;119;124;119;124;123;583140;1520;716640;583140;1000;5;5
23.10.2015;11;119;11;119;111;32540;1200;36020;32540;1000;9;9
19.10.2015;126;126;114;114;119;17550;590;20890;17550;1000;12;-12
16.10.2015;12;12;114;12;12;21130;40;25290;21130;1000;6;0
15.10.2015;12;12;12;12;12;3200;320;3840;3200;1000;0;0
14.10.2015;125;125;125;125;125;1010;10;1260;1010;1000;0;0
13.10.2015;127;127;127;127;127;10000;10;12700;10000;1000;0;0
12.10.2015;126;127;126;127;126;60820;420;76640;60820;1000;1;1
09.10.2015;127;127;127;127;127;3160;600;4010;3160;1000;0;0
08.10.2015;125;125;125;125;125;100000;20;125000;100000;1000;0;0
07.10.2015;127;127;127;127;127;11000;20;13970;11000;1000;0;0
06.10.2015;126;126;126;126;126;60000;10;75600;60000;1000;0;0
05.10.2015;127;127;126;126;126;1770;20;2230;1770;1000;1;-1
01.10.2015;127;127;126;127;126;100680;400;126860;100680;1000;1;0
30.09.2015;127;127;127;127;127;2540;280;3220;2540;1000;0;0
29.09.2015;127;127;126;127;126;73520;1190;92770;73520;1000;1;0
